stock_name,price_nse,price_bse,eps,dividend_yield,face_value,dividend,p_to_e,industry_p_to_e,book_value,p_to_b,avg_dividend,2019 Net,2018 Net,2017 Net,2016 Net,2015 Net,2019 EPS,2018 EPS,2017 EPS,2016 EPS,2015 EPS,2019 ESC,2018 ESC,2017 ESC,2016 ESC,2015 ESC,2019 Profit,2018 Profit,2017 Profit,2016 Profit,2015 Profit
Hindustan Construction Company Ltd.,3.95,3.95,-,-,1.00,0.00,-,13.32,8.55,0.46,0.0,4341.0,4575.08,4195.94,4052.42,4134.8,-17.13,0.76,0.71,1.1,1.27,151.31,101.55,101.08,77.92,64.59,-1961.75,77.53,59.41,84.97,81.65
Ashoka Buildcon Ltd.,39.35,39.40,11.43,-,5.00,0.00,3.45,13.32,78.80,0.50,21.2,3820.64,2446.28,2045.07,1935.83,1966.66,11.87,12.66,9.8,8.6,8.98,140.36,93.57,93.57,93.57,79.31,286.16,237.01,184.22,159.41,142.18
Sadbhav Engineering Ltd.,26.90,26.35,6.17,3.72,1.00,100.00,4.27,13.32,118.53,0.23,83.0,3549.23,3505.06,3320.31,3186.25,2969.85,10.89,12.86,10.84,7.79,7.25,17.16,17.16,17.16,17.15,17.15,186.85,220.66,187.85,133.71,113.73
Sadbhav Infrastructure Projects Ltd.,13.30,12.95,-,3.76,10.00,5.00,-,10.47,39.30,0.34,2.0,295.03,337.79,285.45,85.8,0.0,1.61,1.92,1.17,0.03,0.0,352.23,352.23,352.23,352.23,0.0,56.54,67.74,41.16,1.04,0.0
Man Infraconstruction Ltd.,16.00,16.20,2.73,7.88,2.00,63.00,5.93,13.32,32.57,0.49,52.2,166.48,192.87,158.39,211.71,191.77,4.38,2.98,2.41,1.52,2.04,49.5,49.5,49.5,49.5,49.5,108.52,73.67,59.62,37.56,50.52
PNC Infratech Ltd.,96.00,96.70,20.43,0.52,2.00,25.00,4.73,13.32,82.45,1.16,23.0,3096.87,1856.58,1689.11,2014.16,1560.99,12.67,9.79,8.17,48.77,25.21,51.31,51.31,51.31,51.31,39.81,324.91,251.04,209.69,242.74,100.36
KNR Constructions Ltd.,195.90,196.35,17.79,0.20,2.00,20.00,11.04,13.32,100.58,1.95,17.0,2137.26,1931.65,1541.05,902.55,876.13,18.72,3.73,11.18,57.29,25.96,28.12,28.12,28.12,28.12,28.12,263.27,272.09,157.25,161.12,73.01
ITD Cementation India Ltd.,29.05,29.30,0.78,1.38,1.00,40.00,37.56,13.32,59.43,0.49,14.0,1827.34,1872.92,2871.56,2743.53,1369.41,6.87,4.69,3.1,-3.82,-59.38,17.18,15.52,15.52,15.52,15.52,117.15,72.82,48.11,-59.31,19.41
Reliance Industrial Infrastructure Ltd.,203.55,204.25,5.13,1.47,10.00,30.00,39.81,11.55,224.23,0.91,34.0,84.59,88.87,93.21,89.69,90.09,5.16,6.45,10.87,10.17,14.62,15.1,15.1,15.1,15.1,15.1,7.79,9.74,16.42,15.36,22.07
J Kumar Infraprojects Ltd.,76.95,76.95,27.73,2.92,5.00,45.00,2.77,13.32,220.38,0.35,41.0,2787.09,2050.72,1437.5,1408.63,1343.19,23.4,18.05,13.94,14.91,31.71,37.83,37.83,37.83,37.83,32.23,177.07,136.55,105.51,103.16,94.39
Coromandel Engineering Company Ltd.,12.39,,-,-,10.00,0.00,-,12.64,1.44,8.60,0.0,45.72,32.5,31.34,122.21,230.39,-3.56,-3.78,-2.19,0.12,0.34,33.23,33.23,33.23,33.23,33.23,-11.82,-12.57,-7.26,0.4,1.12
Shriram EPC Ltd.,2.36,2.40,0.13,-,10.00,0.00,18.46,11.55,12.95,0.18,0.0,740.66,615.04,519.69,547.6,547.66,0.3,0.12,-4.12,-10.7,-42.22,971.53,971.53,936.97,330.63,86.36,28.62,10.76,-231.74,-244.03,-252.85
Simplex Infrastructures Ltd.,17.30,17.35,5.38,2.89,2.00,25.00,3.22,13.32,351.34,0.05,25.0,6041.46,5766.21,5607.51,5811.62,5581.58,22.01,23.64,24.31,13.4,12.62,11.47,9.93,9.93,9.93,9.93,122.56,116.95,120.27,66.27,62.43
Patel Engineering Company Ltd.,9.05,9.15,2.88,-,1.00,0.00,3.18,13.32,64.77,0.14,0.0,2069.89,2038.9,2925.55,2614.95,2472.81,5.22,3.76,4.0,-2.43,1.55,16.42,15.7,15.7,7.68,7.68,82.87,59.08,41.83,-18.68,11.89
Man Industries (India) Ltd.,40.60,40.75,7.58,3.69,5.00,30.00,5.38,8.42,122.91,0.33,30.0,2215.39,1572.38,1060.49,1390.73,1364.02,10.05,11.01,5.72,14.5,9.38,28.55,28.55,28.55,28.55,28.55,57.39,62.86,32.65,82.81,53.56
Ramky Infrastructure Ltd.,20.90,21.15,7.81,-,10.00,0.00,2.71,13.32,61.25,0.34,0.0,1476.65,1346.44,1524.57,1792.85,1086.45,7.0,11.36,10.0,2.16,-77.89,59.85,57.2,57.2,57.2,57.2,41.26,64.95,57.22,12.36,-445.49
GPT Infraprojects Ltd.,14.90,14.50,5.18,13.42,10.00,20.00,2.8,6.32,61.13,0.24,17.0,521.27,453.17,377.08,356.37,247.11,2.88,5.96,7.25,6.86,0.75,29.09,29.09,14.54,14.34,14.34,8.39,17.34,10.48,9.84,1.08
Soril Infra Resources Ltd.,40.80,40.70,0.91,-,10.00,0.00,44.73,45.98,73.00,0.56,0.0,150.35,164.55,195.65,259.53,134.37,4.98,6.35,11.51,19.91,8.4,31.5,27.6,27.6,27.6,27.6,15.01,17.84,31.76,55.27,23.24
Noida Toll Bridge Company Ltd.,2.65,2.70,-,-,10.00,0.00,-,10.47,20.65,0.13,12.0,20.36,16.28,82.06,128.96,122.99,-1.93,-3.1,0.09,4.42,4.34,186.2,186.2,186.2,186.2,186.2,-35.93,-57.76,1.63,82.39,80.82
Tarmat Ltd.,27.15,23.30,1.6,-,10.00,0.00,14.56,13.32,30.45,0.89,0.0,95.6,61.68,60.27,55.1,70.63,0.52,1.13,0.0,1.28,-19.12,10.96,10.96,10.96,10.96,10.96,0.57,1.24,0.03,0.82,-20.95
Gayatri Projects Ltd.,8.66,8.95,-,-,2.00,0.00,-,13.32,71.03,0.12,6.0,3463.15,2912.31,2115.35,1812.21,1601.14,11.26,10.58,4.2,17.5,7.3,37.44,37.44,35.45,35.45,30.23,210.77,188.09,74.36,58.65,22.05
MBL Infrastructures Ltd.,2.75,2.80,-,-,10.00,0.00,-,13.32,68.75,0.04,9.0,146.67,486.74,2271.24,2314.35,1948.48,4.87,-39.2,-15.91,20.51,43.33,104.75,41.45,41.45,41.45,20.73,-241.24,239.02,-65.97,85.02,80.16
Punj Lloyd Ltd.,0.89,0.90,-,-,2.00,0.00,-,13.32,4.84,0.18,0.0,4059.49,3854.68,3397.64,5067.46,8474.12,9.46,-25.6,-49.67,-15.26,0.24,67.12,66.85,66.42,66.42,66.42,317.37,-854.08,-1649.51,-506.66,7.81
Niraj Cement Structurals Ltd.,32.00,,0.86,-,10.00,0.00,37.21,13.32,82.28,0.39,0.0,109.34,107.7,107.97,106.03,84.06,0.7,0.74,0.72,0.61,0.88,18.66,14.86,11.79,10.79,10.79,1.24,1.05,0.77,0.66,0.95
Supreme Infrastructure India Ltd.,10.83,8.05,-,-,10.00,0.00,-,13.32,-380.16,-,0.0,555.63,904.05,1050.12,1209.7,1516.95,-431.37,-194.61,-79.19,-15.88,7.97,25.7,25.7,25.7,25.7,25.7,-1108.55,-500.12,-203.5,-40.8,17.25
ILandFS Engineering and Construction Company Ltd.,1.65,1.70,-,-,10.00,0.00,-,13.32,-144.92,-,0.0,1239.14,1868.76,1820.22,1844.87,2359.9,-155.31,0.53,-0.05,-16.65,-0.85,131.12,131.12,131.12,121.16,112.12,-2036.45,6.92,2.3,-188.52,2.67
Atlanta Ltd.,2.85,2.80,1.95,-,2.00,0.00,1.44,10.47,57.15,0.05,9.0,17.53,123.98,224.48,135.87,496.16,-0.36,-3.19,10.12,0.32,5.62,16.3,16.3,16.3,16.3,16.3,-2.99,-26.35,82.44,3.34,46.53
Gammon Infrastructure Projects Ltd.,0.24,0.25,0.18,-,2.00,0.00,1.39,10.47,9.12,0.03,0.0,22.89,150.79,189.82,218.67,98.5,-0.78,0.12,0.2,0.01,0.0,189.18,189.18,189.18,189.14,147.62,-73.41,11.44,18.75,0.78,-67.12
SPML Infra Ltd.,5.26,5.20,3.91,-,2.00,0.00,1.33,13.32,103.29,0.05,0.0,1433.36,1355.93,1611.1,1407.21,1376.98,13.54,11.76,3.92,3.56,3.75,8.19,8.19,7.33,7.33,7.33,49.62,43.12,14.36,13.06,13.76
Madhucon Projects Ltd.,1.55,1.55,-,-,1.00,0.00,-,13.32,110.39,0.01,6.0,669.44,663.93,693.07,717.78,1137.39,2.52,1.78,2.37,3.43,6.69,7.38,7.38,7.38,7.38,7.4,18.61,13.11,15.65,25.34,49.34
Technofab Engineering Ltd.,5.01,4.70,-,-,10.00,0.00,-,11.55,234.83,0.02,4.0,370.37,434.85,402.17,463.11,419.89,-27.79,12.92,8.49,11.01,8.05,10.49,10.49,10.49,10.49,10.49,-29.15,13.55,8.9,11.55,8.45
ARSS Infrastructure Projects Ltd.,9.70,10.05,-,-,10.00,0.00,-,13.32,13.65,0.71,0.0,459.1,584.34,857.0,630.73,660.98,-4.93,-24.09,-222.75,3.38,4.19,22.74,22.74,14.84,14.84,14.84,-11.21,-54.77,-330.63,5.02,6.22
Mukand Engineers Ltd.,5.71,6.95,-,-,10.00,0.00,-,11.55,13.51,0.42,0.0,53.44,75.92,117.74,111.56,139.93,-17.78,0.0,-1.23,-5.31,1.41,12.58,12.58,12.58,12.58,12.58,-22.16,-10.85,-1.55,-6.68,1.78
Capacite Infraprojects Ltd.,74.05,73.20,16.65,1.35,10.00,10.00,4.4,13.32,124.19,0.60,9.0,1787.61,1335.64,1125.08,803.96,0.0,14.08,13.71,17.2,12.03,0.0,67.89,67.89,40.3,5.76,0.0,95.58,78.75,69.31,47.68,0.0
Conart Engineers Ltd.,18.10,,5.22,-,10.00,0.00,3.47,13.32,62.23,0.29,0.0,31.03,22.51,20.43,20.75,19.11,5.32,3.83,4.34,3.72,3.74,3.14,3.14,3.0,3.0,3.0,1.67,1.2,1.3,1.12,1.12
Consolidated Construction Consortium Ltd.,0.48,0.25,-,-,2.00,0.00,-,13.32,-3.06,-,0.0,456.05,469.49,588.81,403.05,666.95,-1.9,-2.3,-3.36,-5.93,-8.35,79.7,79.7,79.7,79.7,36.96,-75.6,-78.32,-133.96,-172.92,-154.23
Kaushalya Infrastructure Development Corporation Ltd.,0.36,0.35,-,-,10.00,0.00,-,13.32,13.82,0.03,0.0,0.22,0.13,0.57,0.57,5.68,6.5,-0.28,-1.16,-15.81,-2.1,34.63,34.63,34.63,34.63,34.63,22.53,-0.99,-4.01,-54.75,-7.28
Vascon Engineers Ltd.,8.22,8.05,2.53,-,10.00,0.00,3.18,13.32,38.32,0.21,0.0,363.45,335.35,216.6,318.26,295.09,0.86,0.67,0.28,0.47,-16.03,178.14,174.14,167.66,161.31,90.48,15.21,11.39,4.53,6.58,-144.7
PSP Projects Ltd.,324.85,322.30,34.76,1.54,10.00,50.00,9.27,13.32,103.16,3.15,72.5,1044.01,729.83,400.76,457.98,280.46,25.07,18.45,14.34,8.66,4.88,36.0,36.0,28.8,3.2,0.8,90.24,64.37,41.31,24.93,14.05
Setubandhan Infrastructure Ltd.,0.44,0.45,-,-,1.00,0.00,-,13.32,10.04,0.04,1.0,258.34,283.91,211.79,181.1,129.23,0.01,0.56,0.51,0.39,0.25,12.57,12.57,12.57,12.57,12.57,0.13,7.06,6.41,4.83,3.12
Karda Construction Ltd.,128.00,128.40,8.58,-,10.00,0.00,14.97,13.32,76.62,1.67,0.0,105.3,126.79,105.31,100.72,45.14,9.78,12.77,8.03,6.37,3.08,12.3,12.3,9.0,5.0,5.0,12.1,13.05,8.03,6.37,3.08
GeeCee Ventures Ltd.,44.15,45.10,9.33,-,10.00,0.00,4.83,13.32,208.78,0.21,9.0,146.99,184.65,92.2,144.19,43.41,16.15,13.85,12.9,14.75,6.58,21.73,21.73,21.73,21.73,19.03,35.1,30.08,28.04,36.54,12.52
Ratnabhumi Developers Ltd.,96.00,,-,-,10.00,0.00,-,13.32,24.40,3.93,0.0,1.98,0.59,8.25,0.0,0.24,0.33,1.35,0.0,13.7,13.7,0.5,0.0,0.33,0.2,1.35,0.0
BL Kashyap & Sons Ltd.,4.90,4.80,-,-,1.00,0.00,-,13.32,24.63,0.20,0.0,748.49,936.68,889.5,841.69,807.58,0.64,2.31,0.33,0.05,-2.55,22.54,21.54,20.54,20.54,20.54,13.92,48.99,6.8,0.96,-52.4
Anant Raj Ltd.,20.45,19.75,1.55,1.17,2.00,12.00,12.74,13.32,143.06,0.14,12.0,457.35,439.65,429.32,408.2,430.48,1.58,1.46,2.05,1.89,4.24,59.02,59.02,59.02,59.02,59.02,46.4,42.86,60.24,55.64,125.03
AGI Infra Ltd.,59.00,,17.18,-,10.00,0.00,3.43,13.32,54.41,1.08,2.0,80.62,121.9,145.96,60.59,40.79,9.08,11.41,5.32,3.82,3.78,10.22,10.22,10.22,10.22,10.22,9.28,11.65,5.44,3.9,2.81
Nila Infrastructures Ltd.,2.54,2.60,0.57,-,1.00,0.00,4.56,13.32,3.17,0.80,8.6,225.8,214.3,224.2,183.11,124.37,0.56,0.57,0.58,0.46,0.38,39.39,39.39,39.34,37.02,37.02,22.18,22.53,22.84,17.04,12.05
Variman Global Enterprises Ltd.,19.90,,0.23,-,10.00,0.00,86.52,13.32,8.76,2.27,0.0,5.75,0.61,1.83,0.0,0.05,-0.01,-0.26,0.0,16.74,5.25,5.25,0.0,0.09,0.0,-0.14,0.0
Shervani Industrial Syndicate Ltd.,218.00,,79.53,-,10.00,0.00,2.74,6.71,567.55,0.38,170.0,73.08,113.03,36.46,28.37,0.0,106.05,116.17,45.89,0.55,-3.96,3.14,3.21,3.28,3.28,3.28,33.3,37.29,15.05,0.18,-1.3
Bigbloc Construction Ltd.,35.20,28.50,0.16,-,10.00,0.00,178.12,6.32,19.80,1.78,1.9,95.06,71.45,62.83,60.35,0.0,1.05,2.82,2.07,0.33,0.0,14.16,14.16,14.16,0.07,0.0,1.49,4.0,2.93,0.47,0.0
Maruti Infrastructure Ltd.,15.30,,0.49,-,10.00,0.00,31.22,13.32,16.75,0.91,0.0,29.27,22.1,13.51,17.49,21.97,0.22,0.45,0.2,0.38,0.85,12.5,12.5,12.5,12.5,12.5,0.28,0.57,0.25,0.48,1.07
Supreme Holdings & Hospitality Ltd.,8.74,,2.37,-,10.00,0.00,3.69,23.33,22.01,0.40,0.0,54.6,47.78,5.98,0.0,0.0,0.87,0.42,-0.21,0.0,-0.05,35.48,35.48,35.48,35.48,35.48,3.09,1.5,-0.76,-0.01,-0.17
TCI Developers Ltd.,243.60,240.40,-,-,10.00,0.00,-,13.32,195.31,1.25,0.0,1.75,1.78,1.89,1.59,1.43,33.07,1.65,5.79,2.18,5.91,3.73,3.73,3.73,3.73,3.73,12.33,0.61,2.16,1.07,2.46
Vivid Mercantile Ltd.,13.80,,-,-,10.00,0.00,-,13.32,21.29,0.65,0.0,11.31,11.47,0.0,-3.83,2.42,0.0,7.96,2.77,0.0,-3.05,0.67,0.0
HB Estate Developers Ltd.,5.51,,-,-,10.00,0.00,-,13.32,112.80,0.05,0.0,89.22,83.78,73.41,68.0,64.54,-5.36,-8.38,-18.03,-19.34,-21.59,19.73,19.73,16.41,16.41,16.41,-10.43,-16.31,-28.99,-30.83,-45.08
Ishaan Infrastructures And Shelters Ltd.,6.65,,1.79,-,10.00,0.00,3.72,13.32,10.05,0.66,0.0,5.99,7.26,20.41,1.78,7.32,0.35,0.26,0.03,0.0,0.06,6.47,6.47,6.47,6.47,6.65,0.23,0.17,0.02,0.08,0.04
KCL Infra Projects Ltd.,0.73,,-,-,2.00,0.00,-,13.32,7.09,0.10,0.0,8.42,20.39,17.88,7.32,5.21,0.11,0.1,0.06,0.08,0.07,5.27,5.27,5.27,5.27,5.27,0.29,0.25,0.16,0.2,0.18
PVV Infra Ltd.,3.54,,2.73,-,10.00,0.00,1.3,13.32,20.47,0.17,0.0,83.43,33.84,50.42,48.75,113.87,5.47,0.0,0.15,0.71,0.94,5.83,5.0,5.0,5.09,5.0,3.19,0.02,0.08,0.36,0.47
Godrej Properties Ltd.,596.70,596.40,16.1,-,5.00,0.00,37.04,13.32,105.67,5.65,8.0,1413.75,955.83,457.14,340.26,516.69,9.22,11.13,5.77,1.44,6.42,114.66,108.24,108.18,108.13,99.68,209.35,240.85,124.25,30.37,127.92
Oberoi Realty Ltd.,324.15,325.65,9.1,0.62,10.00,20.00,35.79,13.32,166.00,1.95,20.0,1028.66,974.19,890.59,1179.77,699.24,12.66,12.28,9.45,14.15,9.29,363.6,339.6,339.54,339.3,328.24,453.7,417.16,320.64,475.47,304.77
Omaxe Ltd.,152.60,152.25,1.58,0.46,10.00,7.00,96.36,13.32,74.61,2.05,6.6,768.04,1267.94,1036.6,1138.25,942.37,1.27,3.47,3.75,2.8,2.18,182.9,182.9,182.9,182.9,182.9,23.14,63.5,67.84,51.47,40.13
TCI Express Ltd.,545.00,543.05,23.93,0.55,2.00,150.00,22.69,17.43,69.66,7.82,71.0,1023.79,885.08,753.87,0.0,0.0,19.02,15.25,10.63,0.0,0.06,7.66,7.66,7.66,7.61,0.05,72.85,58.4,40.71,-0.01,0.0
Phoenix Mills Ltd.,515.50,514.50,10.73,0.58,2.00,150.00,47.95,13.32,178.85,2.88,124.0,440.33,397.21,375.9,355.79,315.45,11.3,10.11,8.73,10.02,4.27,30.66,30.63,30.61,30.6,28.99,173.09,154.83,133.55,150.89,61.85
NBCC (India) Ltd.,16.15,16.20,1.02,4.02,1.00,65.00,15.88,13.32,8.69,1.86,77.0,7244.76,5905.01,6279.39,5827.1,4662.14,2.13,1.85,3.9,5.15,23.11,180.0,180.0,180.0,120.0,120.0,384.11,333.61,351.1,308.8,277.3
Dilip Buildcon Ltd.,208.15,209.70,38.74,0.48,10.00,10.00,5.41,13.32,234.29,0.89,6.15,9118.22,7745.88,5097.62,4085.33,2624.1,55.93,45.35,27.81,18.77,13.63,136.77,136.77,136.77,117.14,117.14,764.94,620.3,360.94,219.89,145.78
Sunteck Realty Ltd.,196.50,202.05,8.6,0.76,1.00,150.00,23.49,13.32,120.74,1.63,120.0,237.93,175.73,197.24,163.45,93.02,12.61,9.23,25.15,22.24,11.86,14.63,14.63,12.59,12.59,12.59,184.55,123.59,158.35,140.06,74.71
Prestige Estates Projects Ltd.,181.80,181.30,11.38,0.83,10.00,15.00,15.93,13.32,109.76,1.66,13.2,2441.1,2992.5,2180.3,2655.98,2374.34,7.71,6.19,15.7,9.65,11.32,375.0,375.0,375.0,375.0,375.0,289.2,232.0,589.09,361.81,414.23
Brigade Enterprises Ltd.,137.00,137.40,13.97,1.46,10.00,20.00,9.84,13.32,112.89,1.21,21.0,1805.91,1265.12,1654.77,1226.45,988.05,17.2,13.48,14.62,12.97,6.23,136.18,136.07,113.66,113.18,112.74,234.22,180.51,165.12,146.36,70.0
Mahindra Lifespace Developers Ltd.,200.00,198.15,6.45,3.00,10.00,60.00,30.72,13.32,340.98,0.59,72.0,486.03,475.0,680.55,502.97,624.01,11.41,10.48,11.92,25.47,56.94,51.35,51.33,41.05,41.03,41.01,58.59,53.12,48.94,104.49,233.3
JMC Projects (India) Ltd.,32.85,31.30,9.65,2.13,2.00,35.00,3.24,13.32,54.99,0.60,20.0,3252.86,2755.64,2328.42,2483.74,2399.88,8.47,31.6,17.68,14.72,11.43,33.58,33.58,33.58,33.58,26.12,142.13,106.12,59.38,41.02,29.86
Ahluwalia Contracts India Ltd.,168.00,169.85,12.23,0.18,2.00,15.00,13.89,13.32,109.79,1.53,6.0,1752.18,1646.59,1426.52,1249.58,1059.92,17.51,17.23,12.84,12.6,10.0,13.4,13.4,13.4,13.4,13.4,117.27,115.45,86.0,84.41,64.14
Ashiana Housing Ltd.,50.70,49.95,-,0.49,2.00,12.50,-,13.32,76.71,0.66,17.5,301.82,288.98,355.94,498.26,120.2,2.13,4.51,7.12,12.84,4.84,20.47,20.47,20.47,20.47,20.47,17.67,38.74,67.08,131.45,45.67
Sobha Ltd.,143.00,146.30,37.03,4.90,10.00,70.00,3.95,13.32,219.03,0.65,51.0,3399.4,2629.7,2207.4,1803.3,2382.4,30.23,20.28,14.47,13.96,20.3,94.8,94.8,96.3,98.06,98.06,286.6,193.9,140.2,136.9,199.1
Kolte-Patil Developers Ltd.,119.10,120.30,12.58,2.02,10.00,24.00,9.56,13.32,104.03,1.14,19.0,462.09,671.1,534.48,180.8,168.37,10.47,13.84,11.18,5.21,5.76,75.81,75.8,75.77,75.77,75.77,79.39,104.91,84.71,39.48,43.63
Unitech Ltd.,1.21,1.30,-,-,2.00,0.00,-,13.32,26.84,0.05,0.0,508.03,1492.5,889.34,1076.55,969.96,-2.55,-0.96,-0.73,-1.04,-0.06,523.26,523.26,523.26,523.26,523.26,-667.32,-229.68,-190.89,-273.36,-15.81
Indiabulls Real Estate Ltd.,39.60,39.75,-,-,2.00,0.00,-,13.32,143.90,0.28,0.0,117.07,82.36,27.2,17.38,35.5,2.32,-0.42,0.35,1.46,0.54,90.14,94.93,95.68,92.34,85.0,106.01,-19.75,17.35,65.55,23.06
Ajmera Realty and Infra India Ltd.,63.10,64.00,13.42,5.23,10.00,33.00,4.77,13.32,157.32,0.40,24.2,354.01,299.07,265.73,222.35,143.92,18.5,21.44,17.18,9.57,6.25,35.48,35.48,35.48,35.48,35.48,66.17,75.58,60.95,33.94,22.19
Welspun Enterprises Ltd.,41.20,40.45,10.57,4.85,10.00,20.00,3.83,13.32,107.75,0.38,8.5,1739.42,997.2,300.53,184.85,184.31,10.4,7.44,2.49,1.89,0.59,148.08,147.53,147.29,174.04,173.32,153.69,109.74,43.27,32.82,10.16
Puravankara Ltd.,37.10,36.90,2.56,2.70,5.00,20.00,14.41,13.32,69.49,0.53,28.728,1471.91,885.6,976.47,983.49,1207.39,3.86,3.26,4.24,3.27,3.6,118.58,118.58,118.58,118.58,118.58,91.77,77.23,100.51,77.49,85.33
Arvind SmartSpaces Ltd.,67.85,67.80,7.07,2.21,10.00,15.00,9.59,10.47,86.75,0.78,3.0,233.82,128.06,90.02,113.11,61.27,13.35,9.88,8.03,6.7,4.25,35.23,31.87,28.41,25.82,10.05,46.03,29.78,21.28,17.31,10.98
Marathon Nextgen Realty Ltd.,41.20,41.50,7.69,1.21,5.00,10.00,5.4,13.32,130.41,0.32,26.0,80.82,13.15,193.14,6.27,22.33,7.44,12.64,30.93,26.51,20.26,23.0,23.0,28.44,28.44,18.96,34.24,30.91,87.96,75.39,38.41
Eldeco Hous Ltd.,740.00,,132.65,2.36,10.00,175.00,5.58,13.32,833.51,0.89,109.0,107.67,74.35,72.7,67.98,30.25,196.86,96.48,46.2,27.09,16.34,1.97,1.97,1.97,1.97,1.97,28.46,18.97,9.09,5.33,3.21
Vipul Ltd.,14.99,12.65,-,0.33,1.00,5.00,-,13.32,33.68,0.45,3.0,215.67,269.16,226.4,178.68,233.55,0.12,0.21,0.2,0.1,0.0,12.0,12.0,12.0,12.0,12.0,1.43,2.5,2.38,1.15,-6.58
Prozone Intu Properties Ltd.,8.04,8.35,0.35,-,2.00,0.00,23.86,11.55,67.63,0.12,0.0,8.3,6.78,7.18,7.52,8.07,0.16,0.15,0.25,0.29,0.17,30.52,30.52,30.52,30.52,30.52,2.42,2.27,3.88,4.48,2.55
DB Realty Ltd.,4.89,4.85,-,-,10.00,0.00,-,13.32,113.86,0.04,0.0,4.19,4.05,13.78,156.73,1.08,-4.95,-3.58,0.06,0.0,-1.13,243.26,243.26,243.26,243.26,243.26,-120.5,-87.12,1.43,0.08,-27.44
Ganesh Housing Corporation Ltd.,18.90,18.60,-,2.65,10.00,5.00,-,13.32,155.88,0.12,17.8,94.83,197.84,177.74,198.44,186.58,2.27,7.95,4.15,12.07,9.71,49.23,49.23,49.0,32.67,32.67,11.19,39.07,38.18,39.43,31.71
Jaypee Infratech Ltd.,0.67,0.70,-,-,10.00,0.00,-,13.32,8.43,0.08,0.0,1292.38,-73.96,962.14,2799.78,3247.83,-9.54,-13.09,-6.31,-2.57,2.56,1388.93,1388.93,1388.93,1388.93,1388.93,-1325.69,-1818.37,-876.38,-357.0,355.0
Peninsula Land Ltd.,2.45,2.55,-,-,2.00,0.00,-,13.32,20.71,0.12,5.0,134.96,475.4,264.57,109.92,161.27,-27.86,-11.72,-5.13,-1.07,-0.23,55.9,55.9,55.84,55.9,55.9,-777.91,-327.33,-143.1,-29.97,-6.32
Arihant Superstructures Ltd.,21.95,20.30,-,2.28,10.00,5.00,-,13.32,27.68,0.79,6.4,67.72,105.06,128.86,65.07,58.76,0.59,2.51,6.47,3.69,2.36,41.16,41.16,41.16,41.16,41.16,2.42,10.34,26.62,15.19,9.72
Housing Development and Infrastructure Ltd.,1.45,1.45,1.68,-,10.00,0.00,0.86,13.32,246.27,0.01,0.0,583.76,387.75,710.81,1168.45,1005.25,2.11,2.22,4.08,8.12,5.49,454.0,434.0,434.0,419.0,419.0,96.19,95.32,175.25,340.35,226.35
Emami Realty Ltd.,27.15,27.40,-,-,2.00,0.00,-,13.32,54.67,0.50,0.0,63.75,1.47,0.93,0.0,0.0,0.26,1.36,6.36,-0.72,-0.03,5.59,5.59,4.86,4.86,4.86,0.73,3.79,15.45,-1.75,-0.06
AMJ Land Ltd.,15.99,14.60,1.27,1.88,2.00,15.00,11.5,13.32,24.49,0.65,12.0,20.51,27.39,8.3,12.23,291.48,1.3,1.02,1.48,1.84,4.94,8.2,8.2,8.2,8.2,8.2,5.35,4.2,6.08,7.55,20.27
Ansal Properties & Infrastructure Ltd.,3.61,3.60,0.06,-,5.00,0.00,60,13.32,26.89,0.13,0.0,613.58,549.33,670.74,705.91,850.09,-3.82,-2.45,0.59,1.87,1.39,78.7,78.7,78.7,78.7,78.7,-60.19,-38.58,8.89,29.37,21.95
Radhe Developers (India) Ltd.,11.44,,-,-,10.00,0.00,-,13.32,13.51,0.85,0.0,10.65,9.99,5.52,16.54,0.3,-0.02,0.25,0.11,1.18,-0.46,25.18,25.18,25.18,25.18,25.18,-0.05,0.63,0.28,2.97,-1.17
Manjeera Constructions Ltd.,53.25,,0.7,-,10.00,0.00,76.07,13.32,82.21,0.65,0.0,76.73,54.02,34.5,28.7,11.42,2.19,6.01,1.34,4.46,2.16,12.51,12.51,12.51,12.51,12.51,2.74,7.51,1.67,5.57,2.7
Prajay Engineers Syndicate Ltd.,4.94,4.70,-,-,10.00,0.00,-,13.32,82.26,0.06,0.0,46.79,36.62,52.25,72.67,55.78,-1.85,-2.79,-3.03,-3.35,-3.37,69.94,69.94,69.94,69.94,69.94,-12.97,-19.48,-21.4,-23.44,-23.6
Marg Ltd.,6.10,,-,-,10.00,0.00,-,13.32,50.54,0.12,0.0,18.83,41.37,88.3,131.61,168.18,-3.46,-3.45,-7.05,-4.45,-42.24,50.82,38.12,38.12,38.12,38.12,-17.61,-13.15,-26.89,-16.98,-172.45
Prerna Infrabuild Ltd.,18.00,,0.94,-,10.00,0.00,19.15,10.47,27.09,0.66,0.0,15.39,8.01,14.04,1.91,1.2,0.4,0.97,0.92,1.28,0.55,12.04,12.04,12.04,11.65,7.94,0.6,1.17,1.11,1.02,0.44
Navkar Builders Ltd.,9.03,,2.61,1.11,10.00,1.00,3.46,13.32,20.60,0.44,3.6,154.82,58.06,41.81,64.66,82.79,2.8,0.17,0.22,1.3,2.43,19.88,19.88,17.45,17.45,17.45,5.56,0.54,0.38,2.27,4.24
